parity,blood_calcium,blood_phosphorus,bcs,days_to_calving,milk_yield_day1,activity_level,dcad,stage
2,8.2,5.5,3.0,11,39.5,100.0,-30.0,Moderate
2,8.6,5.5,3.0,4,39.33,100.0,-30.0,Mild
2,8.6,5.5,3.0,14,38.42,100.0,-30.0,Mild
2,8.6,5.5,3.0,21,24.25,99.0,-30.0,Mild
2,8.6,5.5,3.0,9,43.08,100.0,-30.0,Mild
2,8.6,5.5,3.0,18,32.08,100.0,-30.0,Mild
2,8.2,5.5,3.0,8,39.67,100.0,-30.0,Moderate
2,8.6,5.5,3.0,16,36.17,100.0,-30.0,Mild
2,8.6,5.5,3.0,2,42.75,100.0,-30.0,Mild
2,8.2,5.5,3.0,12,39.17,100.0,-30.0,Moderate
2,8.6,5.5,3.0,13,40.33,100.0,-30.0,Mild
2,8.6,5.5,3.0,19,33.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,1,37.67,100.0,-30.0,Mild
2,8.6,5.5,3.0,15,37.58,100.0,-30.0,Mild
1,9.0,5.5,3.0,3,18.0,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,17,18.0,78.03,-30.0,Mild
1,9.0,5.5,3.0,2,18.0,98.37,-30.0,Subclinical
1,8.6,5.5,3.0,11,18.0,89.13,-30.0,Mild
1,8.6,5.5,3.0,6,18.0,80.73,-30.0,Mild
1,8.6,5.5,3.0,21,18.0,81.5,-30.0,Mild
1,8.6,5.5,3.0,5,18.0,77.73,-30.0,Mild
1,8.6,5.5,3.0,19,18.0,76.5,-30.0,Mild
1,8.6,5.5,3.0,13,18.0,91.5,-30.0,Mild
1,8.6,5.5,3.0,20,18.0,77.6,-30.0,Mild
1,8.6,5.5,3.0,9,18.0,71.67,-30.0,Mild
1,8.6,5.5,3.0,10,18.0,77.57,-30.0,Mild
1,8.6,5.5,3.0,15,18.0,75.2,-30.0,Mild
1,8.6,5.5,3.0,12,18.0,100.0,-30.0,Mild
1,8.6,5.5,3.0,7,18.0,96.27,-30.0,Mild
1,8.6,5.5,3.0,16,18.0,71.77,-30.0,Mild
1,8.6,5.5,3.0,18,18.0,69.0,-30.0,Mild
1,8.6,5.5,3.0,8,18.0,65.0,-30.0,Mild
1,8.2,5.5,3.0,0,18.0,100.0,-30.0,Moderate
1,8.6,5.5,3.0,4,18.0,77.97,-30.0,Mild
1,9.0,5.5,3.0,1,18.0,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,14,18.0,70.2,-30.0,Mild
1,9.0,5.5,3.0,3,24.42,97.9,-30.0,Subclinical
1,8.6,5.5,3.0,9,24.92,96.83,-30.0,Mild
1,8.6,5.5,3.0,12,23.08,89.26,-30.0,Mild
1,8.6,5.5,3.0,11,27.92,93.39,-30.0,Mild
1,9.0,5.5,3.0,6,27.25,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,1,28.0,98.54,-30.0,Subclinical
1,9.0,5.5,3.0,8,22.83,97.11,-30.0,Subclinical
1,8.6,5.5,3.0,13,24.17,93.32,-30.0,Mild
1,8.6,5.5,3.0,7,22.75,89.11,-30.0,Mild
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,8.6,5.5,3.0,18,27.58,96.28,-30.0,Mild
1,9.0,5.5,3.0,4,24.08,98.78,-30.0,Subclinical
1,8.6,5.5,3.0,20,22.42,89.64,-30.0,Mild
1,8.6,5.5,3.0,21,27.5,92.62,-30.0,Mild
1,8.6,5.5,3.0,16,26.08,94.56,-30.0,Mild
1,9.0,5.5,3.0,10,26.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,19,26.75,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,14,28.5,94.21,-30.0,Mild
1,9.0,5.5,3.0,5,26.42,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,2,20.08,90.48,-30.0,Subclinical
1,8.6,5.5,3.0,17,29.0,97.18,-30.0,Mild
1,8.6,5.5,3.0,15,25.92,99.39,-30.0,Mild
1,9.0,5.5,3.0,2,24.33,99.11,-30.0,Subclinical
1,8.6,5.5,3.0,15,36.0,100.0,-30.0,Mild
1,9.0,5.5,3.0,5,26.25,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,37.5,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,16,35.25,98.81,-30.0,Mild
1,8.6,5.5,3.0,9,33.17,95.43,-30.0,Mild
1,8.6,5.5,3.0,19,37.0,100.0,-30.0,Mild
1,9.0,5.5,3.0,3,34.92,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,13,26.25,95.14,-30.0,Mild
1,8.6,5.5,3.0,10,25.67,94.06,-30.0,Mild
1,9.0,5.5,3.0,7,40.5,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,17,41.92,100.0,-30.0,Mild
1,9.0,5.5,3.0,11,34.75,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,18,31.42,99.14,-30.0,Mild
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,9.0,5.5,3.0,1,26.67,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,4,35.67,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,21,30.83,100.0,-30.0,Mild
1,8.6,5.5,3.0,12,36.5,100.0,-30.0,Mild
1,9.0,5.5,3.0,8,32.92,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,14,35.75,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,20,42.58,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,26.92,95.83,-30.0,Subclinical
1,9.0,5.5,3.0,14,19.42,92.56,-30.0,Subclinical
1,9.0,5.5,3.0,18,15.75,87.67,-30.0,Subclinical
1,9.0,5.5,3.0,20,16.67,88.89,-30.0,Subclinical
1,9.0,5.5,3.0,9,14.0,79.78,-30.0,Subclinical
1,9.0,5.5,3.0,4,17.83,88.36,-30.0,Subclinical
1,9.0,5.5,3.0,17,23.0,87.96,-30.0,Subclinical
1,9.0,5.5,3.0,15,30.83,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,19,24.17,98.89,-30.0,Subclinical
1,8.2,5.5,3.0,0,18.0,100.0,-30.0,Moderate
1,9.0,5.5,3.0,10,17.0,88.99,-30.0,Subclinical
1,9.0,5.5,3.0,13,23.58,98.11,-30.0,Subclinical
1,9.0,5.5,3.0,5,20.83,94.44,-30.0,Subclinical
1,9.0,5.5,3.0,7,14.92,84.58,-30.0,Subclinical
1,9.0,5.5,3.0,1,12.17,74.9,-30.0,Subclinical
1,9.0,5.5,3.0,2,13.25,74.75,-30.0,Subclinical
1,9.0,5.5,3.0,8,19.67,92.54,-30.0,Subclinical
1,9.0,5.5,3.0,3,18.08,80.99,-30.0,Subclinical
1,9.0,5.5,3.0,16,21.75,95.67,-30.0,Subclinical
1,9.0,5.5,3.0,11,19.92,85.41,-30.0,Subclinical
1,9.0,5.5,3.0,21,22.33,96.44,-30.0,Subclinical
1,9.0,5.5,3.0,12,18.25,91.0,-30.0,Subclinical
1,9.0,5.5,3.0,5,26.75,85.97,-30.0,Subclinical
1,9.0,5.5,3.0,4,18.0,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,1,39.0,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,3,45.08,99.58,-30.0,Subclinical
1,9.0,5.5,3.0,2,18.0,91.04,-30.0,Subclinical
1,8.2,5.5,3.0,0,18.0,100.0,-30.0,Moderate
2,8.2,5.5,3.0,2,42.25,86.55,-30.0,Moderate
2,8.2,5.5,3.0,20,31.92,100.0,-30.0,Moderate
2,8.6,5.5,3.0,21,36.75,100.0,-30.0,Mild
2,8.6,5.5,3.0,12,51.5,88.89,-30.0,Mild
2,8.2,5.5,3.0,4,44.5,92.08,-30.0,Moderate
2,8.2,5.5,3.0,8,40.83,99.79,-30.0,Moderate
2,8.2,5.5,3.0,18,30.0,90.11,-30.0,Moderate
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.6,5.5,3.0,6,44.58,91.81,-30.0,Mild
2,8.6,5.5,3.0,13,41.67,100.0,-30.0,Mild
2,8.2,5.5,3.0,9,39.17,96.39,-30.0,Moderate
2,8.6,5.5,3.0,5,36.42,100.0,-30.0,Mild
2,8.6,5.5,3.0,11,47.0,93.96,-30.0,Mild
2,8.2,5.5,3.0,3,35.92,99.58,-30.0,Moderate
2,8.2,5.5,3.0,10,42.0,93.75,-30.0,Moderate
2,8.2,5.5,3.0,7,41.0,96.94,-30.0,Moderate
2,8.6,5.5,3.0,19,36.92,100.0,-30.0,Mild
2,8.6,5.5,3.0,1,37.0,90.76,-30.0,Mild
2,8.2,5.5,3.0,17,32.75,98.33,-30.0,Moderate
2,8.2,5.5,3.0,14,38.67,97.64,-30.0,Moderate
2,8.2,5.5,3.0,16,37.08,92.7,-30.0,Moderate
2,8.2,5.5,3.0,15,35.33,91.01,-30.0,Moderate
1,8.6,5.5,3.0,1,3.5,57.0,-30.0,Mild
1,9.0,5.5,3.0,14,32.67,96.73,-30.0,Subclinical
1,9.0,5.5,3.0,4,37.83,100.0,-30.0,Subclinical
1,8.2,5.5,3.0,0,18.0,100.0,-30.0,Moderate
1,9.0,5.5,3.0,5,45.67,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,8,45.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,38.92,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,16,37.58,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,3,23.17,97.24,-30.0,Subclinical
1,9.0,5.5,3.0,21,41.67,95.03,-30.0,Subclinical
1,8.6,5.5,3.0,17,37.67,97.46,-30.0,Mild
1,8.6,5.5,3.0,19,34.5,96.46,-30.0,Mild
1,9.0,5.5,3.0,9,37.25,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,10,30.75,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,13,30.08,99.53,-30.0,Mild
1,9.0,5.5,3.0,12,36.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,7,35.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,11,31.5,99.77,-30.0,Subclinical
1,9.0,5.5,3.0,20,33.67,90.98,-30.0,Subclinical
1,9.0,5.5,3.0,15,36.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,2,17.17,86.78,-30.0,Subclinical
1,8.6,5.5,3.0,18,39.08,100.0,-30.0,Mild
1,9.0,5.5,3.0,3,31.92,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,16,26.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,8,28.67,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,9,35.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,13,33.67,96.67,-30.0,Subclinical
1,9.0,5.5,3.0,18,24.33,98.67,-30.0,Subclinical
1,9.0,5.5,3.0,14,19.0,85.92,-30.0,Subclinical
1,9.0,5.5,3.0,7,32.0,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,12,24.67,99.33,-30.0,Subclinical
1,9.0,5.5,3.0,19,27.25,98.85,-30.0,Subclinical
1,9.0,5.5,3.0,21,29.0,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,31.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,15,27.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,17,32.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,10,21.83,93.67,-30.0,Subclinical
1,9.0,5.5,3.0,20,21.92,93.83,-30.0,Subclinical
1,9.0,5.5,3.0,1,32.25,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,2,27.42,98.96,-30.0,Subclinical
1,9.0,5.5,3.0,4,26.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,11,29.25,91.67,-30.0,Subclinical
1,9.0,5.5,3.0,5,33.0,99.9,-30.0,Subclinical
2,8.6,5.5,3.0,13,30.33,87.89,-30.0,Mild
2,8.2,5.5,3.0,4,42.33,92.03,-30.0,Moderate
2,8.2,5.5,3.0,6,43.0,94.07,-30.0,Moderate
2,8.2,5.5,3.0,10,32.5,93.31,-30.0,Moderate
2,8.2,5.5,3.0,19,32.67,91.31,-30.0,Moderate
2,8.2,5.5,3.0,14,35.58,93.88,-30.0,Moderate
2,8.2,5.5,3.0,18,28.42,91.62,-30.0,Moderate
2,8.6,5.5,3.0,11,25.75,96.27,-30.0,Mild
2,8.2,5.5,3.0,9,34.42,90.06,-30.0,Moderate
2,8.6,5.5,3.0,2,41.58,98.59,-30.0,Mild
2,8.2,5.5,3.0,16,33.0,93.58,-30.0,Moderate
2,8.6,5.5,3.0,17,32.0,94.26,-30.0,Mild
2,8.2,5.5,3.0,7,29.92,94.68,-30.0,Moderate
2,8.6,5.5,3.0,20,24.75,96.9,-30.0,Mild
2,8.6,5.5,3.0,21,21.08,89.15,-30.0,Mild
2,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.6,5.5,3.0,12,34.58,94.88,-30.0,Mild
2,8.2,5.5,3.0,5,40.0,91.98,-30.0,Moderate
2,8.2,5.5,3.0,3,35.83,94.04,-30.0,Moderate
2,8.2,5.5,3.0,15,37.42,90.96,-30.0,Moderate
2,8.6,5.5,3.0,8,32.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,1,37.58,100.0,-30.0,Mild
1,9.0,5.5,3.0,3,18.0,71.17,-30.0,Subclinical
1,8.6,5.5,3.0,20,18.0,60.87,-30.0,Mild
1,8.6,5.5,3.0,1,18.0,100.0,-30.0,Mild
1,8.2,5.5,3.0,8,18.0,54.5,-30.0,Moderate
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,8.2,5.5,3.0,19,18.0,41.47,-30.0,Moderate
1,8.6,5.5,3.0,2,18.0,93.43,-30.0,Mild
1,8.2,5.5,3.0,10,18.0,53.37,-30.0,Moderate
1,8.2,5.5,3.0,12,18.0,46.5,-30.0,Moderate
1,8.2,5.5,3.0,11,18.0,47.07,-30.0,Moderate
1,8.2,5.5,3.0,17,18.0,52.47,-30.0,Moderate
1,8.2,5.5,3.0,21,18.0,47.27,-30.0,Moderate
1,8.6,5.5,3.0,18,18.0,68.87,-30.0,Mild
1,8.2,5.5,3.0,14,18.0,43.43,-30.0,Moderate
1,8.2,5.5,3.0,13,18.0,55.47,-30.0,Moderate
1,8.6,5.5,3.0,16,18.0,73.67,-30.0,Mild
1,8.2,5.5,3.0,15,18.0,59.87,-30.0,Moderate
1,8.2,5.5,3.0,5,18.0,57.87,-30.0,Moderate
1,8.2,5.5,3.0,9,18.0,48.83,-30.0,Moderate
1,8.2,5.5,3.0,4,18.0,55.1,-30.0,Moderate
1,8.2,5.5,3.0,7,18.0,53.97,-30.0,Moderate
1,8.6,5.5,3.0,6,18.0,79.23,-30.0,Mild
1,9.0,5.5,3.0,20,37.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,40.75,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,7,36.83,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,15,35.58,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,19,36.17,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,4,38.75,100.0,-30.0,Mild
1,9.0,5.5,3.0,3,28.17,100.0,-30.0,Subclinical
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,9.0,5.5,3.0,5,34.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,1,38.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,9,34.92,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,12,34.58,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,14,37.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,17,30.92,100.0,-30.0,Subclinical
