cow_id,parity,blood_calcium_mg_dl,blood_phosphorus_mg_dl,body_condition_score,days_to_calving,milk_yield_day1_kg,activity_level_score,dietary_cation_anion_difference,feed_intake_kg_day,rumination_minutes_day,behavioral_pattern,emergency_vet_required,stage
COW-1049,5,4.36,7.13,3.8,15,39.8,1.9,30.7,8.6,135.8,Normal movement,Yes,Critical
COW-1050,8,8.99,3.14,4.6,6,27.1,8.4,4.5,22.3,506.8,Lethargic,No,Normal
COW-1051,5,9.61,5.03,3.7,10,34.2,8.5,20.5,19.3,486.2,Muscle tremors,No,Normal
COW-1052,1,7.13,5.91,3.4,28,22.0,5.4,39.8,18.5,395.9,Unable to stand,No,Subclinical
COW-1053,8,9.04,3.6,3.6,6,16.7,7.8,25.6,18.8,478.9,Lethargic,No,Normal
COW-1054,5,6.88,4.51,4.1,3,19.6,4.7,38.6,13.8,304.1,Unable to stand,No,Mild
COW-1055,3,9.78,4.42,3.4,16,16.5,9.3,-12.2,18.7,451.8,Muscle tremors,No,Normal
COW-1056,2,9.3,3.75,3.7,14,13.0,7.2,-1.3,22.4,458.0,Unable to stand,No,Normal
COW-1057,4,6.7,5.94,3.3,-2,31.3,3.8,25.7,17.5,294.6,Reduced movement,No,Mild
COW-1058,5,6.59,3.01,3.4,25,20.2,3.3,-2.3,13.0,261.3,Lethargic,No,Mild
COW-1059,8,6.06,5.95,4.4,7,24.9,3.5,15.0,13.6,368.7,Reduced movement,No,Mild
COW-1060,3,5.06,5.85,2.9,2,26.4,2.3,1.7,10.2,269.9,Muscle tremors,Yes,Moderate
COW-1061,8,4.11,6.02,2.1,9,43.7,1.4,31.0,9.3,168.1,Unable to stand,Yes,Critical
COW-1062,1,8.4,6.78,3.4,23,42.1,6.3,-5.0,16.3,356.0,Unable to stand,No,Subclinical
COW-1063,8,8.36,3.52,2.5,21,34.3,5.9,0.9,17.0,398.2,Muscle tremors,No,Subclinical
COW-1064,1,5.41,5.02,3.5,-5,33.0,2.6,14.8,10.3,296.4,Muscle tremors,Yes,Moderate
COW-1065,6,9.75,4.34,2.4,13,25.3,8.5,23.4,21.1,457.7,Normal movement,No,Normal
COW-1066,4,9.92,4.12,4.5,2,26.2,7.9,-8.5,18.1,511.2,Reduced movement,No,Normal
COW-1067,5,7.71,4.22,3.7,19,16.7,5.5,18.0,19.2,497.0,Reduced movement,No,Subclinical
COW-1068,5,5.7,4.34,2.0,14,39.3,3.7,16.9,10.4,274.5,Muscle tremors,Yes,Moderate
COW-1069,8,5.48,5.28,3.0,7,44.3,2.7,-1.9,11.9,245.2,Muscle tremors,Yes,Moderate
COW-1070,7,8.59,4.93,4.0,4,27.3,9.2,-13.0,22.9,571.7,Unable to stand,No,Normal
COW-1071,6,4.72,5.28,4.2,21,40.5,1.8,38.3,6.6,143.1,Normal movement,Yes,Critical
COW-1072,5,7.47,7.26,4.6,19,43.4,6.4,19.5,18.2,477.8,Muscle tremors,No,Subclinical
COW-1073,1,5.56,4.14,2.3,1,36.6,2.5,23.7,12.8,214.5,Normal movement,Yes,Moderate
COW-1074,5,8.26,4.87,2.4,28,24.4,5.1,22.5,19.0,394.0,Reduced movement,No,Subclinical
COW-1075,2,9.72,5.92,2.7,11,26.1,8.1,21.7,22.8,524.7,Muscle tremors,No,Normal
COW-1076,3,5.07,7.81,4.1,24,39.6,3.9,-4.0,14.9,215.9,Muscle tremors,Yes,Moderate
COW-1077,2,5.21,4.48,4.9,20,19.6,3.1,16.1,12.0,299.1,Normal movement,Yes,Moderate
COW-1078,8,5.75,7.01,2.7,7,31.7,3.8,22.3,13.4,207.6,Reduced movement,Yes,Moderate
COW-1079,1,6.28,3.45,2.9,21,16.1,3.9,-7.7,15.5,359.9,Unable to stand,No,Mild
COW-1080,6,5.48,7.12,3.4,13,36.1,3.8,3.6,13.8,210.8,Normal movement,Yes,Moderate
COW-1081,2,7.2,7.9,4.9,30,22.8,6.9,28.5,19.3,458.6,Normal movement,No,Subclinical
COW-1082,2,9.41,7.11,4.8,1,33.6,9.0,10.9,22.7,537.7,Unable to stand,No,Normal
COW-1083,6,5.82,7.55,2.9,21,14.1,2.4,-12.5,8.4,278.9,Normal movement,Yes,Moderate
COW-1084,8,8.73,4.86,4.8,29,24.7,7.7,25.8,21.8,508.3,Reduced movement,No,Normal
COW-1085,2,5.75,6.45,2.7,23,43.3,3.2,32.0,14.6,213.6,Normal movement,Yes,Moderate
COW-1086,6,4.26,3.95,2.4,24,13.2,2.0,-3.3,6.2,127.8,Unable to stand,Yes,Critical
COW-1087,1,4.6,3.34,4.3,8,30.5,0.9,29.7,4.8,147.7,Reduced movement,Yes,Critical
COW-1088,3,10.08,7.94,3.6,6,13.8,8.8,32.7,19.9,597.6,Reduced movement,No,Normal
COW-1089,4,9.68,5.1,2.3,-1,26.7,7.0,27.8,19.9,469.0,Unable to stand,No,Normal
COW-1090,8,7.71,7.33,3.6,24,32.5,6.9,-13.3,15.2,467.5,Muscle tremors,No,Subclinical
COW-1091,7,5.62,3.4,3.8,-1,14.4,3.0,19.3,14.4,188.8,Unable to stand,Yes,Moderate
COW-1092,6,7.53,5.15,4.4,2,39.8,6.2,20.8,16.5,425.8,Unable to stand,No,Subclinical
COW-1093,4,6.39,4.99,4.2,15,24.9,4.8,21.6,14.5,374.1,Lethargic,No,Mild
COW-1094,8,3.59,6.69,4.4,30,12.1,1.7,37.6,4.6,91.6,Unable to stand,Yes,Critical
COW-1095,2,9.32,7.58,2.2,13,31.0,9.6,4.3,24.6,513.4,Unable to stand,No,Normal
COW-1096,3,7.92,4.84,4.3,9,38.3,5.4,31.5,15.5,476.8,Unable to stand,No,Subclinical
COW-1097,1,6.55,4.37,4.3,16,22.3,4.3,-5.0,16.2,254.3,Reduced movement,No,Mild
COW-1098,7,7.1,5.65,3.1,24,21.9,6.5,5.4,19.9,363.8,Lethargic,No,Subclinical
COW-1099,2,6.8,3.41,3.3,22,27.0,3.3,9.3,16.5,257.5,Lethargic,No,Mild
COW-1100,2,9.19,5.63,2.9,9,23.8,7.3,18.0,22.7,539.0,Normal movement,No,Normal
COW-1101,4,10.03,5.49,3.3,3,23.3,9.3,23.7,20.0,468.0,Unable to stand,No,Normal
COW-1102,6,7.1,7.61,4.6,22,30.1,6.7,24.0,15.2,352.8,Muscle tremors,No,Subclinical
COW-1103,7,8.54,7.16,4.8,0,25.3,8.0,-9.2,23.6,542.7,Muscle tremors,No,Normal
COW-1104,2,7.55,3.84,3.5,2,28.6,5.6,-4.3,16.7,400.0,Lethargic,No,Subclinical
COW-1105,3,7.33,6.8,4.0,6,43.3,5.3,19.5,16.0,440.4,Muscle tremors,No,Subclinical
COW-1106,8,6.61,4.62,4.9,15,15.3,4.8,-11.2,15.9,398.0,Muscle tremors,No,Mild
COW-1107,5,6.53,3.19,3.1,13,12.7,3.7,32.5,12.4,319.3,Normal movement,No,Mild
COW-1108,7,6.42,5.25,4.4,7,21.3,4.1,11.2,16.8,384.4,Reduced movement,No,Mild
COW-1109,8,3.64,5.52,2.5,10,34.8,1.8,39.5,6.1,165.7,Unable to stand,Yes,Critical
COW-1110,3,7.51,6.39,2.2,16,12.3,6.8,-9.8,16.9,466.2,Muscle tremors,No,Subclinical
COW-1111,3,9.17,7.84,4.1,20,14.5,8.7,24.0,19.0,502.5,Normal movement,No,Normal
COW-1112,7,9.79,7.74,5.0,28,13.3,8.0,21.9,18.9,555.4,Unable to stand,No,Normal
COW-1113,6,7.43,3.96,5.0,4,12.7,6.9,31.4,16.7,464.9,Normal movement,No,Subclinical
COW-1114,1,7.93,3.77,2.5,5,35.2,6.8,-12.6,18.1,439.6,Lethargic,No,Subclinical
COW-1115,4,6.87,4.17,2.7,25,41.6,4.2,-4.3,16.5,367.6,Unable to stand,No,Mild
COW-1116,8,4.58,3.81,2.6,3,40.6,1.7,-12.1,7.0,130.2,Muscle tremors,Yes,Critical
COW-1117,2,5.64,3.8,3.3,27,15.2,3.0,9.1,8.9,190.1,Reduced movement,Yes,Moderate
COW-1118,6,5.84,4.93,2.2,9,11.0,2.8,36.2,10.8,224.9,Lethargic,Yes,Moderate
COW-1119,3,5.03,6.79,3.4,-5,41.7,3.8,-14.0,11.3,279.7,Reduced movement,Yes,Moderate
COW-1120,7,5.1,5.1,4.4,24,12.2,2.6,31.0,10.1,185.7,Muscle tremors,Yes,Moderate
COW-1121,1,7.88,3.01,3.1,21,16.6,6.2,21.8,18.6,393.7,Unable to stand,No,Subclinical
COW-1122,2,4.83,3.1,4.6,-3,32.2,1.3,39.0,8.7,140.9,Lethargic,Yes,Critical
COW-1123,6,6.71,6.86,4.2,16,14.7,3.7,4.4,16.4,344.2,Lethargic,No,Mild
COW-1124,3,5.75,3.91,2.4,24,11.3,3.4,-3.9,14.9,237.4,Reduced movement,Yes,Moderate
COW-1125,6,5.84,4.27,4.3,7,20.0,3.0,32.4,14.9,245.2,Normal movement,Yes,Moderate
COW-1126,6,5.25,5.2,4.9,16,44.1,3.6,12.3,11.1,228.0,Muscle tremors,Yes,Moderate
COW-1127,5,8.12,7.11,3.6,15,13.6,6.5,3.0,15.4,440.4,Lethargic,No,Subclinical
COW-1128,7,8.83,7.56,3.8,22,19.6,8.3,38.9,21.1,559.0,Normal movement,No,Normal
COW-1129,7,9.23,3.71,3.8,23,11.2,9.4,-11.3,22.8,592.9,Lethargic,No,Normal
COW-1130,1,7.85,6.82,3.7,28,22.8,6.4,2.3,19.7,405.8,Lethargic,No,Subclinical
COW-1131,2,8.55,3.59,4.3,23,17.5,7.6,18.7,21.6,587.0,Muscle tremors,No,Normal
COW-1132,3,10.21,3.44,4.0,15,33.4,8.4,24.0,24.3,516.8,Unable to stand,No,Normal
COW-1133,5,8.19,6.97,3.5,2,44.5,6.4,28.6,19.6,445.7,Reduced movement,No,Subclinical
COW-1134,1,5.32,3.65,4.7,-1,20.8,3.1,40.0,11.3,298.0,Muscle tremors,Yes,Moderate
COW-1135,7,8.15,5.25,4.0,17,14.5,5.1,30.6,19.9,446.4,Unable to stand,No,Subclinical
COW-1136,3,6.69,7.16,3.6,14,15.8,3.3,2.7,15.0,380.2,Reduced movement,No,Mild
COW-1137,5,10.19,3.63,2.9,29,13.3,7.8,20.3,22.4,532.6,Unable to stand,No,Normal
COW-1138,3,3.74,7.62,2.1,-4,12.8,1.4,37.2,9.4,120.5,Unable to stand,Yes,Critical
COW-1139,4,10.03,6.14,2.9,14,26.9,8.2,29.3,22.5,524.7,Muscle tremors,No,Normal
COW-1140,2,9.88,4.7,2.4,15,35.7,7.5,32.3,20.9,519.7,Muscle tremors,No,Normal
COW-1141,6,9.53,5.25,2.4,-2,20.2,7.3,6.1,19.7,468.4,Unable to stand,No,Normal
COW-1142,3,8.14,3.8,5.0,24,27.5,6.9,2.0,18.6,378.5,Normal movement,No,Subclinical
COW-1143,7,9.51,3.25,3.5,25,20.0,9.9,-14.6,19.5,502.9,Normal movement,No,Normal
COW-1144,5,8.02,5.85,2.6,30,20.1,6.5,6.2,16.8,410.1,Muscle tremors,No,Subclinical
COW-1145,5,6.74,3.48,3.1,16,29.5,4.2,5.1,15.7,269.3,Reduced movement,No,Mild
COW-1146,7,9.5,5.37,3.4,27,14.9,7.1,36.2,19.0,500.0,Lethargic,No,Normal
COW-1147,5,9.69,5.81,3.4,-4,22.9,8.5,22.1,21.6,523.5,Muscle tremors,No,Normal
COW-1148,1,7.84,5.89,2.7,-2,30.4,5.5,-5.6,18.3,495.8,Unable to stand,No,Subclinical
COW-1149,7,6.13,3.55,2.1,15,24.7,4.4,7.7,12.2,392.2,Reduced movement,No,Mild
COW-1150,8,8.22,4.04,3.0,25,28.4,6.5,2.3,15.3,370.7,Reduced movement,No,Subclinical
COW-1151,6,7.76,7.02,2.8,25,16.7,6.4,-1.4,19.3,452.1,Unable to stand,No,Subclinical
COW-1152,5,10.04,5.4,3.7,12,20.1,9.1,16.5,22.8,523.4,Unable to stand,No,Normal
COW-1153,7,8.15,4.44,4.1,17,42.3,6.9,21.1,19.0,393.6,Muscle tremors,No,Subclinical
COW-1154,5,10.37,5.93,2.7,28,17.9,9.1,-2.2,19.0,542.4,Normal movement,No,Normal
COW-1155,8,7.14,7.65,3.2,25,26.7,6.5,-4.0,15.0,432.6,Lethargic,No,Subclinical
COW-1156,1,10.32,6.62,4.8,6,24.6,7.3,31.1,22.0,530.3,Normal movement,No,Normal
COW-1157,7,4.6,4.45,2.1,14,29.9,0.8,-9.1,8.5,184.7,Lethargic,Yes,Critical
COW-1158,8,10.28,7.04,3.0,24,32.7,7.4,24.5,21.5,490.9,Normal movement,No,Normal
COW-1159,5,6.51,7.49,4.5,27,21.5,4.5,7.0,13.1,378.4,Normal movement,No,Mild
COW-1160,3,9.45,5.23,2.8,16,20.6,9.8,24.8,18.0,507.5,Normal movement,No,Normal
COW-1161,6,9.89,5.03,3.5,14,34.2,7.2,20.1,18.8,496.0,Lethargic,No,Normal
COW-1162,4,7.31,6.03,3.2,30,41.9,5.3,26.7,15.8,462.2,Reduced movement,No,Subclinical
COW-1163,2,6.47,3.56,4.5,27,17.1,4.1,14.5,14.2,387.6,Reduced movement,No,Mild
COW-1164,8,8.73,5.55,4.4,24,14.6,7.6,7.8,22.1,463.6,Unable to stand,No,Normal
COW-1165,8,9.85,3.02,2.7,-1,11.6,7.9,3.9,18.2,488.2,Normal movement,No,Normal
COW-1166,1,8.31,5.04,4.3,21,23.1,5.1,34.0,19.7,354.8,Muscle tremors,No,Subclinical
COW-1167,7,5.34,6.27,3.0,6,44.7,3.4,6.6,12.6,244.7,Reduced movement,Yes,Moderate
COW-1168,4,6.75,6.6,3.3,19,38.8,4.5,-1.4,17.9,319.5,Lethargic,No,Mild
COW-1169,4,10.37,5.1,4.3,-4,18.4,9.2,-11.3,18.8,571.4,Unable to stand,No,Normal
COW-1170,1,8.99,6.77,4.3,3,27.6,7.1,0.9,21.1,531.0,Unable to stand,No,Normal
COW-1171,6,8.97,5.07,2.8,30,43.2,9.6,33.4,24.9,528.2,Reduced movement,No,Normal
COW-1172,7,6.5,4.91,3.6,21,24.3,3.1,1.5,14.1,346.5,Reduced movement,No,Mild
COW-1173,8,6.22,5.32,2.2,21,43.9,3.5,15.7,17.1,271.7,Reduced movement,No,Mild
COW-1174,5,7.28,3.46,4.2,7,11.8,6.3,5.7,19.6,477.1,Unable to stand,No,Subclinical
COW-1175,2,6.17,5.4,4.6,16,20.6,4.5,35.0,16.3,333.8,Reduced movement,No,Mild
COW-1176,2,4.55,6.52,3.2,10,29.3,1.6,27.7,9.5,163.5,Muscle tremors,Yes,Critical
COW-1177,6,7.43,7.01,4.2,15,42.0,5.7,5.4,19.4,419.9,Muscle tremors,No,Subclinical
COW-1178,4,9.98,6.6,2.9,7,21.5,7.0,5.9,21.9,537.6,Reduced movement,No,Normal
COW-1179,6,7.36,5.45,2.5,17,15.9,6.6,24.6,19.8,446.3,Muscle tremors,No,Subclinical
COW-1180,1,9.55,3.24,2.0,3,39.5,9.5,-2.3,18.5,572.7,Reduced movement,No,Normal
COW-1181,8,9.25,5.42,3.5,-5,28.6,8.9,7.6,22.7,542.5,Normal movement,No,Normal
COW-1182,5,7.75,5.15,4.8,6,13.7,5.6,-9.7,17.5,454.7,Reduced movement,No,Subclinical
COW-1183,5,10.13,5.03,3.7,9,20.5,7.8,30.5,20.8,506.0,Normal movement,No,Normal
COW-1184,1,6.08,3.05,2.5,26,39.6,3.8,20.5,15.3,258.4,Lethargic,No,Mild
COW-1185,2,8.25,6.46,3.7,12,11.6,6.8,-10.9,16.1,485.2,Lethargic,No,Subclinical
COW-1186,1,5.16,3.72,4.5,20,42.5,3.7,1.5,8.1,204.9,Unable to stand,Yes,Moderate
COW-1187,7,9.85,6.95,4.1,0,27.5,8.6,38.6,20.7,561.0,Normal movement,No,Normal
COW-1188,4,10.18,4.98,4.3,-4,32.2,8.0,28.1,23.4,593.2,Muscle tremors,No,Normal
COW-1189,6,7.77,4.9,4.3,13,37.9,5.8,24.2,15.9,437.9,Normal movement,No,Subclinical
COW-1190,7,9.92,3.53,2.0,14,25.6,8.9,26.9,23.2,497.5,Normal movement,No,Normal
COW-1191,3,9.36,3.45,3.7,15,40.2,8.7,-14.3,21.6,465.5,Muscle tremors,No,Normal
COW-1192,2,8.01,5.61,4.1,5,14.9,6.1,1.6,20.0,386.4,Muscle tremors,No,Subclinical
COW-1193,3,9.37,4.26,2.7,26,30.8,8.3,-4.2,21.4,461.5,Normal movement,No,Normal
COW-1194,1,10.4,4.65,3.0,3,20.5,8.0,18.2,22.3,570.6,Reduced movement,No,Normal
COW-1195,3,8.35,5.46,3.7,10,21.4,6.9,0.4,16.5,454.2,Muscle tremors,No,Subclinical
COW-1196,4,7.83,7.77,3.4,8,25.3,6.1,1.0,18.4,432.5,Normal movement,No,Subclinical
COW-1197,7,5.61,3.77,3.3,19,12.6,2.3,39.5,10.1,210.3,Muscle tremors,Yes,Moderate
COW-1198,7,7.76,5.68,3.9,0,13.8,6.6,-1.3,16.8,484.3,Lethargic,No,Subclinical
COW-1199,1,9.63,4.66,4.4,1,10.4,8.9,-0.8,22.5,595.0,Unable to stand,No,Normal
COW-1200,4,6.4,5.5,3.0,-4,26.9,3.8,1.2,16.6,338.3,Normal movement,No,Mild
COW-1201,3,9.2,4.74,2.3,23,21.2,8.0,1.5,23.5,528.2,Normal movement,No,Normal
COW-1202,6,9.8,4.22,2.5,5,21.6,9.0,8.5,19.2,597.6,Muscle tremors,No,Normal
COW-1203,7,9.76,6.69,4.6,23,30.7,7.6,6.4,22.6,509.3,Reduced movement,No,Normal
COW-1204,2,9.65,3.99,2.3,26,28.5,9.4,20.2,21.8,504.9,Unable to stand,No,Normal
COW-1205,7,7.82,7.07,4.1,14,42.2,5.7,17.5,19.2,442.6,Reduced movement,No,Subclinical
COW-1206,4,9.11,5.09,2.4,19,24.8,7.5,11.8,22.9,526.6,Unable to stand,No,Normal
COW-1207,3,6.5,5.26,2.2,17,43.3,4.0,11.7,12.8,297.2,Reduced movement,No,Mild
COW-1208,8,5.37,3.84,3.7,9,20.2,3.0,0.1,13.0,233.3,Unable to stand,Yes,Moderate
COW-1209,8,9.63,5.86,2.8,29,38.8,9.3,5.2,21.5,526.6,Normal movement,No,Normal
COW-1210,8,6.49,6.76,2.9,-3,25.7,5.0,4.2,12.6,374.5,Normal movement,No,Mild
COW-1211,2,8.09,4.75,4.1,22,15.8,5.5,-7.3,19.1,438.2,Reduced movement,No,Subclinical
COW-1212,1,5.51,7.9,2.9,12,43.3,3.1,13.3,12.2,200.2,Normal movement,Yes,Moderate
COW-1213,7,10.34,7.33,2.7,15,39.0,10.0,26.9,24.1,469.0,Muscle tremors,No,Normal
COW-1214,5,7.88,6.84,3.2,12,34.3,5.8,33.3,15.4,469.2,Muscle tremors,No,Subclinical
COW-1215,6,4.31,7.86,3.9,17,39.8,1.8,28.8,9.1,91.2,Muscle tremors,Yes,Critical
COW-1216,7,10.15,5.74,2.4,26,37.6,8.5,34.2,20.3,492.5,Normal movement,No,Normal
COW-1217,8,8.53,7.96,3.3,3,40.9,9.8,1.6,19.1,518.5,Lethargic,No,Normal
COW-1218,6,9.0,4.98,2.9,9,25.0,8.1,-10.0,24.3,474.8,Normal movement,No,Normal
COW-1219,8,8.66,3.04,3.0,2,44.6,8.8,8.2,21.6,516.8,Reduced movement,No,Normal
COW-1220,4,7.54,7.4,2.4,3,32.5,6.5,22.2,15.5,397.0,Normal movement,No,Subclinical
COW-1221,1,7.85,6.74,4.8,23,40.1,5.3,-10.2,16.8,382.0,Normal movement,No,Subclinical
COW-1222,2,9.68,3.7,2.8,0,18.7,8.2,18.1,24.7,497.2,Unable to stand,No,Normal
COW-1223,1,10.2,5.55,4.2,13,32.6,9.0,28.1,20.1,527.7,Reduced movement,No,Normal
COW-1224,2,7.34,3.06,3.1,15,14.6,6.3,32.3,15.4,483.3,Unable to stand,No,Subclinical
COW-1225,3,8.07,3.34,2.8,-3,42.3,6.9,37.2,18.9,352.5,Muscle tremors,No,Subclinical
COW-1226,7,7.59,3.76,2.3,0,27.9,5.8,-3.8,18.2,430.6,Reduced movement,No,Subclinical
COW-1227,7,7.82,4.55,3.3,10,12.0,6.5,-10.3,18.2,446.5,Muscle tremors,No,Subclinical
COW-1228,1,9.12,6.54,4.1,5,27.4,9.2,4.1,23.2,467.9,Unable to stand,No,Normal
COW-1229,5,5.15,7.43,4.3,-4,21.7,2.3,8.6,13.5,212.3,Unable to stand,Yes,Moderate
COW-1230,2,9.49,3.83,2.5,1,41.3,8.5,22.1,18.4,578.9,Normal movement,No,Normal
COW-1231,1,8.59,4.91,2.5,-3,29.4,9.6,35.3,19.7,520.8,Muscle tremors,No,Normal
COW-1232,4,9.33,4.86,3.5,-2,16.3,9.2,29.2,19.9,461.7,Normal movement,No,Normal
COW-1233,2,4.73,3.43,3.4,18,17.0,1.8,16.0,8.6,117.3,Lethargic,Yes,Critical
COW-1234,4,6.42,3.98,4.7,10,15.3,4.2,36.3,15.0,365.9,Normal movement,No,Mild
COW-1235,6,9.77,6.79,3.1,14,13.6,9.1,14.1,18.1,500.3,Reduced movement,No,Normal
COW-1236,1,8.36,4.16,4.5,21,34.5,5.3,5.5,16.4,356.6,Normal movement,No,Subclinical
COW-1237,3,7.89,6.31,2.4,13,19.1,5.8,2.3,18.0,359.3,Muscle tremors,No,Subclinical
COW-1238,6,6.29,6.9,3.8,4,13.7,3.5,9.7,12.4,280.4,Lethargic,No,Mild
COW-1239,6,8.35,3.6,2.5,14,38.9,5.4,23.3,16.5,389.8,Normal movement,No,Subclinical
COW-1240,6,8.8,3.24,2.9,6,11.1,9.1,7.2,24.8,509.4,Muscle tremors,No,Normal
COW-1241,4,7.13,3.31,4.3,9,14.6,5.2,30.3,19.0,368.2,Lethargic,No,Subclinical
COW-1242,2,6.52,3.32,4.7,23,38.3,3.5,-9.9,16.9,253.3,Lethargic,No,Mild
COW-1243,8,8.6,5.48,3.1,22,16.0,9.8,-3.2,21.0,558.7,Reduced movement,No,Normal
